TraceType,CachePolicy,CacheSize,AvgHitRate,AvgMissRate,AvgEvictionRate,AvgMemoryUsedKB
Synthetic,FIFO,64,0.0125,0.9875,0.9868,1.7
Synthetic,LRU,64,0.0125,0.9874,0.9868,13.54
Synthetic,FIFO,128,0.0254,0.9746,0.9733,2.22
Synthetic,LRU,128,0.0255,0.9745,0.9733,26.55
Synthetic,FIFO,256,0.0507,0.9493,0.9467,3.25
Synthetic,LRU,256,0.0506,0.9494,0.9468,52.54
Synthetic,FIFO,512,0.1022,0.8979,0.8927,5.31
Synthetic,LRU,512,0.1022,0.8978,0.8926,104.55
Zipfian,FIFO,64,0.4423,0.5577,0.5571,1.7
Zipfian,LRU,64,0.4955,0.5045,0.5038,13.54
Zipfian,FIFO,128,0.5161,0.4839,0.4826,2.22
Zipfian,LRU,128,0.5642,0.4358,0.4345,26.55
Zipfian,FIFO,256,0.5862,0.4138,0.4112,3.25
Zipfian,LRU,256,0.6286,0.3714,0.3689,52.54
Zipfian,FIFO,512,0.6544,0.3456,0.3405,5.31
Zipfian,LRU,512,0.6902,0.3098,0.3047,104.55
