TraceType,CachePolicy,CacheSize,AvgHitRate,AvgMissRate,AvgEvictionRate,AvgMemoryUsedKB
Synthetic,FIFO,64,0.995,0.005,0.0,1.64
Synthetic,LRU,64,0.995,0.005,0.0,5.48
Synthetic,CLOCK,64,0.995,0.005,0.0,4.41
Synthetic,ARC,64,0.995,0.005,0.0,3.77
Synthetic,FIFO,128,0.995,0.005,0.0,1.64
Synthetic,LRU,128,0.995,0.005,0.0,5.48
Synthetic,CLOCK,128,0.995,0.005,0.0,5.41
Synthetic,ARC,128,0.995,0.005,0.0,3.77
Synthetic,FIFO,256,0.995,0.005,0.0,1.64
Synthetic,LRU,256,0.995,0.005,0.0,5.48
Synthetic,CLOCK,256,0.995,0.005,0.0,7.41
Synthetic,ARC,256,0.995,0.005,0.0,3.77
Synthetic,FIFO,512,0.995,0.005,0.0,1.64
Synthetic,LRU,512,0.995,0.005,0.0,5.48
Synthetic,CLOCK,512,0.995,0.005,0.0,11.41
Synthetic,ARC,512,0.995,0.005,0.0,3.77
Zipfian,FIFO,64,0.995,0.005,0.0,1.64
Zipfian,LRU,64,0.995,0.005,0.0,5.48
Zipfian,CLOCK,64,0.995,0.005,0.0,4.41
Zipfian,ARC,64,0.995,0.005,0.0,3.94
Zipfian,FIFO,128,0.995,0.005,0.0,1.64
Zipfian,LRU,128,0.995,0.005,0.0,5.48
Zipfian,CLOCK,128,0.995,0.005,0.0,5.41
Zipfian,ARC,128,0.995,0.005,0.0,3.94
Zipfian,FIFO,256,0.995,0.005,0.0,1.64
Zipfian,LRU,256,0.995,0.005,0.0,5.48
Zipfian,CLOCK,256,0.995,0.005,0.0,7.41
Zipfian,ARC,256,0.995,0.005,0.0,3.94
Zipfian,FIFO,512,0.995,0.005,0.0,1.64
Zipfian,LRU,512,0.995,0.005,0.0,5.48
Zipfian,CLOCK,512,0.995,0.005,0.0,11.41
Zipfian,ARC,512,0.995,0.005,0.0,3.94
